城市,纬度,经度,人口,GDP,人均GDP,著名景点
武汉市,30.5431,114.3392,1184,16224,137000,黄鹤楼、东湖、武汉大学
黄石市,30.2202,115.0754,263,1650,62738,铜绿山古铜矿遗址
十堰市,32.6215,110.7718,339,2050,60472,武当山
宜昌市,30.7075,111.2908,413,4500,108960,三峡大坝、三峡人家
襄阳市,32.0006,112.1444,589,4320,73345,古隆中、襄阳古城
鄂州市,30.3913,114.8948,105,1000,95238,梁子湖
荆门市,31.0354,112.2036,287,2000,69686,明显陵
孝感市,30.9163,113.9252,482,2200,45643,双峰山
荆州市,30.3266,112.2377,566,2600,45936,荆州古城、洪湖湿地
黄冈市,30.4476,114.8703,613,2100,34258,麻城龟山
咸宁市,29.8414,114.3236,245,1400,57143,九宫山、赤壁古战场
随州市,31.7171,113.3717,216,1100,50926,大洪山风景区
恩施土家族苗族自治州,30.2838,109.4859,397,1200,30227,恩施大峡谷、腾龙洞
仙桃市,30.3623,113.4563,117,900,76923,沔阳小镇